,,,,,,,,,,,
,,,,,,,,,,,
,RANK,PLAYER NAME,TEAM NAME,NOTE,MATCHES PLAYED,EVENTS PLAYED,KILLS PER MATCH,KILLS PER EVENT,TOTAL KILLS,,
,1,MOVEMENT,LEGIONARIES,TOP FRAGGER,15,5,9.533333333,28.6,143,,
,2,CODGOD,LEGIONARIES,2ND FRAGGER,15,5,7.8,23.4,117,,
,3,CPT MONA,SHIBO ESPORTS,3RD FRAGGER,15,5,7.466666667,22.4,112,,
,4,WARFLAME,HEXLINE ELITE,,15,5,6.6,19.8,99,,
,5,SAMMY,LEGIONARIES,,15,5,6.066666667,18.2,91,,
,6,CHIKE,SHIBO ESPORTS,,12,4,7.166666667,21.5,86,,
,7,JOZZY,DFL,,14,5,5.785714286,16.2,81,,
,8,SPIRIT,LEGIONARIES,,15,5,5.266666667,15.8,79,,
,9,SXVAGE YT,QUORA MAIN,BANNED,12,4,6.25,18.75,75,,
,10,LOGIC,QUORA MAIN,BANNED,12,4,5.75,17.25,69,,
,11,DRXXGZ,HORIZON ONE,,15,5,4.466666667,13.4,67,,
,12,STALKER YT,LEGION OLD TAKERS,,12,4,5.583333333,16.75,67,,
,13,SLOW,TEAM KNI,,14,5,4.642857143,13,65,,
,14,HORUS,PREACHER ESPORT,,15,5,4.333333333,13,65,,
,15,YAMMICODM,PREACHER X,,12,4,5.333333333,16,64,,
,16,PELNEEZ,PREACHER ESPORT,,13,5,4.923076923,12.8,64,,
,17,SILVER,RAZE ROYALS,,15,5,4.266666667,12.8,64,,
,18,HALCYON,PREACHERS WRATH,,10,4,6.3,15.75,63,,
,19,MARTINS,SHIBO ESPORTS,,13,5,4.692307692,12.2,61,,
,20,STIMRUSKI,PREACHER X,,12,4,5,15,60,,
,21,RICE,MULTI KILLERS,,14,5,4.142857143,11.6,58,,
,22,POISON YT,PREACHERS WRATH,,10,4,5.7,14.25,57,,
,23,IMPROVE,KYZON ESPORT,,12,5,4.75,11.4,57,,
,24,GREY,REBELLION BLOODLINE,,12,4,4.75,14.25,57,,
,25,AVATAR,HEXLINE ELITE,,12,5,4.583333333,11,55,,
,26,PRIME,QUORA MAIN,BANNED,11,4,5,13.75,55,,
,27,?.,RAZE ROYALS,,15,5,3.666666667,11,55,,
,28,DELETE,HEXLINE ELITE,,14,5,3.857142857,10.8,54,,
,29,MR P,STRIX CARTEL,,15,5,3.6,10.8,54,,
,30,TOONS,HORIZON ONE,,15,5,3.533333333,10.6,53,,
,31,CPT BIGGIE,PREACHER ESPORT,,15,5,3.466666667,10.4,52,,
,32,DEMON,STRIX CARTEL,,11,4,4.636363636,12.75,51,,
,33,FLCN YT,LEGION OLD TAKERS,,12,4,4.25,12.75,51,,
,34,TRAUMA,PREACHER X,,11,5,4.363636364,9.6,48,,
,35,LEVI,DFL,,13,5,3.692307692,9.6,48,,
,36,20KAI,KYZON ESPORT,,13,5,3.692307692,9.6,48,,
,37,EXO,QUORA MAIN,BANNED,9,3,5.222222222,15.66666667,47,,
,38,JJ,FIRST ESPORTS ALPHA,,15,5,3.133333333,9.4,47,,
,39,NEMESIS,NEMESIS ESPORTS,,15,5,3.066666667,9.2,46,,
,40,IROZ YT,PREACHERS WRATH,,10,4,4.6,11.5,46,,
,41,21.KAI,KYZON ESPORT,,5,2,9.2,23,46,,
,42,SONDER,PREACHER X,,12,5,3.75,9,45,,
,43,YXSHIM,FIRST ESPORTS ALPHA,,13,5,3.461538462,9,45,,
,44,AGE,LEGION OLD TAKERS,,12,4,3.75,11.25,45,,
,45,SANTI,NEMESIS ESPORTS,,11,4,4,11,44,,
,46,HIM,DFL,,11,5,4,8.8,44,,
,47,NEGAN,HORIZON ONE,,12,5,3.666666667,8.8,44,,
,48,?XN•1st,FIRST ESPORTS ALPHA,,12,5,3.583333333,8.6,43,,
,49,STARGIRL,PREACHER X,,8,3,5.25,14,42,,
,50,MAYHEM.KAI,STRIX CARTEL,,15,5,2.8,8.4,42,,
,51,SHELBY,KYZON ESPORT,,13,5,3.230769231,8.4,42,,
,52,DFW ,TEAM KNI,,15,5,2.733333333,8.2,41,,
,53,ITACHI,STRIX CARTEL,,15,5,2.733333333,8.2,41,,
,54,1,RAZE ROYALS,,15,5,2.733333333,8.2,41,,
,55,KILLER,DFL,,11,5,3.545454545,7.8,39,,
,56,RAW,HORIZON ONE,,10,4,3.9,9.75,39,,
,57,10,SHIBO ESPORTS,,11,4,3.454545455,9.5,38,,
,58,STEW,MULTI KILLERS,,15,5,2.533333333,7.6,38,,
,59,MALAY YT,LEGION OLD TAKERS,,12,4,3.166666667,9.5,38,,
,60,LARRY CODM,NEMESIS ESPORTS,,8,4,4.625,9.25,37,,
,61,LXMBA,PREACHER ESPORT,,13,5,2.846153846,7.4,37,,
,62,KINGNEE,SHIBO ESPORTS,,9,3,4.111111111,12.33333333,37,,
,63,MAUS,LEGION OLD TAKERS,,12,4,2.75,8.25,33,,
,64,SYNA,TEAM KNI,,15,5,2.133333333,6.4,32,,
,65,HURLAR,KYZON ESPORT,,6,2,5.333333333,16,32,,
,66,RAGAZ,REBELLION BLOODLINE,,12,4,2.666666667,8,32,,
,67,AREMU TT,NEMESIS ESPORTS,,8,4,3.75,7.5,30,,
,68,GOSPEL,HEXLINE ELITE,,9,3,3.333333333,10,30,,
,69,LISA,WICKED ENTITIES,,12,4,2.5,7.5,30,,
,70,RONASMITH,SOVEREIGN,,11,4,2.727272727,7.5,30,,
,71,BADMAN,DFL,,11,4,2.727272727,7.5,30,,
,72,BERRY,NEMESIS ESPORTS,,8,3,3.625,9.666666667,29,,
,73,AKARA,PREACHERS WRATH,,7,3,4.142857143,9.666666667,29,,
,74,QUAVO,RAZE ROYALS,,12,4,2.25,6.75,27,,
,75,IRISH.KAI,KYZON ESPORTS,,7,3,3.571428571,8.333333333,25,,
,76,YOU,WICKED ENTITIES,,3,1,8.333333333,25,25,,
,77,CPT ZUKO,REBELLION BLOODLINE,,8,3,2.875,7.666666667,23,,
,78,BOMBER,DAREDEVILS,,13,5,1.692307692,4.4,22,,
,79,VOYAGE,REBELLION BLOODLINE,,11,4,1.909090909,5.25,21,,
,80,SIDNEY,MERCILESS ESPORTS,,9,3,2.111111111,6.333333333,19,,
,81,IRUNMOLE TT,NEMESIS ESPORTS,,9,3,2,6,18,,
,82,5G,SOVEREIGN,,6,2,3,9,18,,
,83,POPE,HORIZON ONE,,5,2,3.6,9,18,,
,84,DIVINITY,DAREDEVILS,,14,5,1.214285714,3.4,17,,
,85,DERAZ,QUORA MAIN,BANNED,3,1,5.666666667,17,17,,
,86,SKIPPER,PREACHER X,,5,2,3.4,8.5,17,,
,87,LAZY,QUORA MAIN,BANNED,1,1,17,17,17,,
,88,ALIVE,DAREDEVILS,,13,5,1.230769231,3.2,16,,
,89,YAM,MULTI KILLERS,,13,5,1.230769231,3.2,16,,
,90,KYOTO+ON TT,MULTI KILLERS,,4,2,4,8,16,,
,91,MORRIS,REBELLION BLOODLINE,,10,4,1.6,4,16,,
,92,OYIN,TEAM KNI,,6,2,2.5,7.5,15,,
,93,PAPAGINI,FIRST ESPORTS ALPHA,,11,5,1.363636364,3,15,,
,94,MO KAI,KYZON ESPORT,,4,3,3.75,5,15,,
,95,KYOTO,WICKED ENTITIES,,14,5,1,2.8,14,,
,96,??SOV ,SOVEREIGN,,10,4,1.4,3.5,14,,
,97,TRX,DAREDEVILS,,8,3,1.625,4.333333333,13,,
,98,IZZY YT,MERCILESS ESPORTS,,9,3,1.444444444,4.333333333,13,,
,99,BAMSBAM,MERCILESS ESPORTS,,12,5,1.083333333,2.6,13,,
,100,ICON,WICKED ENTITIES,,5,2,2.6,6.5,13,,
,101,SODIQ,PREACHERS WRATH,,4,2,3,6,12,,
,102,ASHEWO,MERCILESS ESPORTS,,12,5,0.916666667,2.2,11,,
,103,LIA,RAZE ROYALS,,3,1,3.666666667,11,11,,
,104,LAYY,WICKED ENTITIES,,7,3,1.428571429,3.333333333,10,,
,105,MELLY_P,STRIX CARTEL,,4,2,2.5,5,10,,
,106,PRIDE,PREACHER ESPORTS,,4,2,2.5,5,10,,
,107,21MS,SOVEREIGN,,6,3,1.5,3,9,,
,108,J,FIRST ESPORTS ALPHA,,3,1,2.666666667,8,8,,
,109,ABBAS,FIRST ESPORTS ALPHA,,6,3,1.333333333,2.666666667,8,,
,110,BEETLE YT,WICKED ENTITIES,,2,1,3.5,7,7,,
,111,DXNRUSKI,SOVEREIGN,,4,2,1.75,3.5,7,,
,112,DEATHWAVE,REBELLION BLOODLINE,,4,2,1.75,3.5,7,,
,113,SPAG,MULTI KILLERS,,7,3,0.857142857,2,6,,
,114,RN,WICKED ENTITIES,,3,1,2,6,6,,
,115,MK ANGEL,MULTI KILLERS,,3,1,2,6,6,,
,116,DEL,HEXLINE ELITE,,2,1,2.5,5,5,,
,117,MAD DOG,DAREDEVILS,,2,1,2.5,5,5,,
,118,SU1TAN,SOVEREIGN,,4,2,1.25,2.5,5,,
,119,HITVERSK,DAREDEVILS,,6,4,0.666666667,1,4,,
,120,SORRY,SOVEREIGN,,1,1,4,4,4,,
,121,OGUNMEPON,HEXLINE ELITE,,2,2,1.5,1.5,3,,
,122,,,,,,,,,,
,123,,,,,,,,,,
,124,,,,,,,,,,
,125,,,,,,,,,,
,126,,,,,,,,,,
,127,,,,,,,,,,
,128,,,,,,,,,,
,129,,,,,,,,,,
,130,,,,,,,,,,
,131,,,,,,,,,,
,132,,,,,,,,,,
,133,,,,,,,,,,
,134,,,,,,,,,,
,135,,,,,,,,,,
,136,,,,,,,,,,
,137,,,,,,,,,,
,138,,,,,,,,,,
,139,,,,,,,,,,
,140,,,,,,,,,,
,141,,,,,,,,,,
,142,,,,,,,,,,
,143,,,,,,,,,,
,144,,,,,,,,,,
,145,,,,,,,,,,
,146,,,,,,,,,,
,147,,,,,,,,,,
,148,,,,,,,,,,
,149,,,,,,,,,,
,150,,,,,,,,,,
,151,,,,,,,,,,
,152,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
